product name,price
"Vitron 55"" Inch FRAMELESS BLUETOOTH,4K UHD Android TV 1.5GBRAM,8GBROM-NETFLIX","KSh 39,999"
"Vitron 32"" Inch Smart Android Tv,Frameless, Netflix,Youtube","KSh 11,999"
"Amtec 28"" 28L12 Digital LED HD TV (1YR WRTY)-Black (1YR WRTY)","KSh 7,299"
"Hisense 43"" Inch FHD Frameless Smart TV,NETFLIX,YOUTUBE,VIDAA OS+FREE GIFTS","KSh 24,999"
"Hisense 43A4, 43"" INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS","KSh 24,795"
"Vitron Smart 32"" Inch,BLUETOOTH,Android 11,Inbuilt Decoder,Youtube+Extension&Bracket","KSh 11,690"
Lyons LST4305W 43”INCH Smart Android Frameless 2K Full HD TV - Black  (1YR WRTY),"KSh 17,599"
"CTC CT32F1S, 32"" Inch Frameless Bluetooth Enabled Smart Android TV App Store Youtube (1 Year Warranty)+ Free TV Guard+Extension","KSh 11,395"
TCL 43 INCHES V6C 4K HDR Google TV – 43V6C (New 2025 Model),"KSh 31,399"
"Amtec 32""Inch-AC/DC,Bluetooth,Frameless Smart Android TV Inbuilt Decoder NetflixYoutube+FREE 32GB FLASH+Bracket","KSh 12,370"
"Gld 32 Inch Frameless Smart-Digital Android TV ,Bluetooth-Enabled//Decoder Netflix +FREE BRACKET&EXTENSION","KSh 12,299"
"Glaze 50"" Inch UHD FRAMELESS Android,BLUETOOTH SMART,NETFLIX+WALL MOUNT,TV GUARD","KSh 31,999"
"Vitron 50"" Inch SMART Android TV,BLUETOOTH,FRAMELESS,FULL HD+TV GUARD","KSh 32,999"
"TCL 43"" INCH, P635 UHD 4K,Google/Android TV,NETFLIX/YOUTUBE-BLUETOOTH+2YRS WARRANTY","KSh 29,999"
"Solarmax 32""Inch Bluetooth Enabled Frameless Smart Android TV Inbuilt Decoder Netflix You tube Appstore +FREE TV Guard and Bracket","KSh 11,414"
Solarmax  24 Inch Digital LED TV AC/DC Clear Images,"KSh 6,314"
Hikers 55'' Frameless Android Smart 4K LED TV - Black,"KSh 33,990"
"Hisense 50"" Inch (50A6K) VIDAA OS LED Frameless Smart TV - Black (2YRS WRTY)","KSh 39,200"
Solarmax 24 Inches Led Digital Televison AC/DC Free To Air Channel,"KSh 6,299"
"Hikers 32"" Digital Frameless HD LED TV - Black","KSh 9,129"
"Vitron 32"" inch-Frameless /Smart & Android TV,1GB RAM ,NETFLIX,APPSTORE+BRACKET+EXTENSION","KSh 11,699"
"Skyworth 43"" INCH  FHD ,BLUETOOTH ENABLED- Smart&Digital  Android TELEVISION","KSh 26,690"
"Gld 32"" Inch Smart Android 11 TV NETFLIX,YOUTUBE-InbuiltDecoder+Bracket+Power Guard","KSh 12,299"
"Vitron HTC4068FS, 40"" Inch Frameless Smart Android TV AppStore Netflix Youtube Television+TV Guard+Wall Bracket","KSh 17,595"
"Globalstar 55UK64 , 55INCH Smart Android TV, Netflix, Youtube - Black","KSh 35,999"
"Vitron FRAMELESS DIGITAL TV-HDMI+INBUILT DECODER-32"" Inch+TV Guard+Extension (1YR WRTY)","KSh 11,299"
